departamento,ciudad,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Cauca,Santa Rosa,0,0,0,0,0,0,1,3,2,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Bolívar,María la Baja,0,0,0,0,0,0,2,3,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,23
Cundinamarca,Cundinamarca department,1,3,4,0,2,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
La Guajira,Maicao,0,0,0,0,0,0,1,1,5,3,3,2,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23
Chocó,Carmen del Darien,0,0,0,1,0,0,1,6,2,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22
Antioquia,Barbosa,0,0,0,0,0,0,6,10,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
Cauca,Suárez,0,0,0,0,0,0,5,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,1,0,3,22
Antioquia,Chigorodó,0,1,1,0,0,4,4,1,4,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22
Tolima,Ataco,0,0,0,0,0,1,6,2,2,5,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
La Guajira,Dibulla,0,0,0,0,0,0,0,0,5,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,22
Caldas,La Dorada,0,0,0,0,0,0,0,1,0,1,0,15,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22
Córdoba,Puerto Libertador,0,0,0,0,0,1,1,3,7,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,22
Sucre,San Onofre,0,0,0,1,0,0,7,0,1,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21
Chocó,Chocó department,0,0,1,3,0,0,1,1,0,0,0,4,0,0,0,1,0,1,0,0,4,1,2,1,0,0,0,0,1,0,0,21
Valle del Cauca,Pradera,0,0,0,0,0,0,4,1,2,2,2,2,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,21
Cauca,Mercaderes,0,0,0,0,0,0,3,3,2,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,21
Meta,Puerto Lleras,1,0,0,0,0,1,1,1,4,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21
Bolívar,Turbaco,0,0,0,0,0,1,2,0,2,9,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20
Huila,Huila department,0,0,1,1,1,0,2,2,1,6,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20
Arauca,Puerto Rondón,0,0,0,0,0,0,2,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,2,20
Valle del Cauca,Dagua,0,0,0,0,0,2,3,5,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
Boyacá,Labranzagrande,0,0,0,1,1,0,3,1,4,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Norte de Santander,Los Patios,0,0,0,0,0,0,0,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Bolívar,San Juan Nepomuceno,0,0,1,0,0,0,5,1,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20
Tolima,Cajamarca,0,0,0,0,0,0,1,4,1,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Cauca,Bolivar,0,0,0,0,0,0,1,4,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,20
Huila,Baraya,2,0,0,0,0,1,1,2,2,4,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Antioquia,La Unión,0,0,0,2,0,0,6,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Antioquia,Caucasia,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8,4,20
Santander,Suratá,0,0,0,0,0,0,8,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Putumayo,Puerto Caicedo,0,0,0,0,0,0,1,1,0,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,20
Tolima,Venadillo,0,0,0,0,0,0,1,2,4,7,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
Cauca,Jambaló,0,0,1,0,0,2,0,0,0,4,1,1,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,19
Cauca,Páez,0,0,2,0,0,0,1,1,3,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,4,19
Antioquia,Montebello,0,0,0,0,0,0,7,4,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Cesar,Chiriguaná,0,0,1,0,0,0,2,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,19
Santander,Landázuri,0,0,0,0,0,0,2,3,3,3,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Tolima,Líbano,0,0,0,0,0,3,2,5,1,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Antioquia,Briceño,0,0,0,0,0,1,0,3,4,1,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,2,0,19
Caldas,Chinchiná,0,0,0,0,0,0,0,1,3,0,1,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19
Guaviare,El Retorno,0,1,0,0,0,0,1,1,3,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19
Norte de Santander,Arboledas,0,0,0,0,0,1,4,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Cauca,Purace,1,0,0,0,0,0,0,5,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19
Caldas,Villamaria,0,0,0,0,0,0,0,0,1,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Norte de Santander,Chitagá,0,0,0,0,0,0,3,5,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,18
Santander,Puerto Wilches,0,0,0,0,0,1,1,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,18
Santander,Sabana de Torres,1,0,0,0,0,1,1,1,2,1,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
Meta,Granada,0,1,0,0,1,0,1,5,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
Tolima,Anzoátegui,0,1,0,0,0,0,5,2,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Cundinamarca,Viotá,0,0,0,0,0,1,2,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Norte de Santander,El Carmen,0,0,0,0,0,0,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,2,18
Antioquia,Nariño,0,0,0,0,0,2,2,0,1,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18
Santander,Matanza,1,0,0,0,0,0,1,3,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Tolima,Tolima department,0,0,0,0,2,0,0,0,1,1,0,2,2,1,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,18
Antioquia,Campamento,0,0,0,0,0,1,3,3,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,18
Antioquia,Vigía del Fuerte,0,0,0,0,0,2,4,1,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Antioquia,Santo Domingo,0,0,1,3,0,1,2,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Huila,La Plata,0,0,0,0,0,0,2,1,5,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,18
Caquetá,Montañita,0,0,0,0,0,0,3,3,7,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,18
Cauca,Totoró,0,0,0,2,0,1,1,0,2,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,17
Santander,El Playón,0,0,0,0,0,1,4,2,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
Antioquia,Amalfi,0,0,0,0,1,0,3,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
Caquetá,Milán,0,1,0,0,0,0,0,3,3,2,3,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17
Risaralda,Pueblo Rico,0,0,0,0,0,0,6,0,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Casanare,Yopal,0,0,0,0,0,1,1,3,2,1,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
Antioquia,Concepción,0,0,0,0,1,0,4,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Atlántico,Malambo,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,17
Bolívar,Norosi,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,6,4,17
Chocó,Medio Atrato,0,0,0,0,0,0,0,1,0,3,4,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,17
Antioquia,Urabá region,0,2,4,3,1,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Sucre,Tolú Viejo,0,0,1,0,0,3,3,1,0,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
Cesar,Pueblo Bello,0,0,1,0,0,2,2,0,1,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
Córdoba,Montelíbano,0,0,0,0,0,0,0,4,3,0,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17
Tolima,Dolores,0,0,2,0,0,0,1,2,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Valle del Cauca,El Cerrito,0,0,0,1,0,1,2,4,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
Antioquia,Guarne,0,0,1,0,0,2,0,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Meta,Puerto Concordia,0,0,0,0,0,0,4,2,3,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Tolima,San Antonio,0,0,0,0,1,1,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Antioquia,Bello,0,0,0,1,0,1,1,1,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
Nariño,Samaniego,0,0,0,0,0,1,0,4,1,1,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16
Antioquia,Caldas,0,0,0,0,0,0,0,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Magdalena,Plato,0,0,0,0,0,0,0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
Cesar,El Copey,0,0,0,0,0,2,4,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16
Nariño,San Andrés de Tumaco,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,0,15
Nariño,Policarpa,0,0,0,0,0,0,0,1,1,1,2,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
Huila,Tello,0,0,0,0,0,0,1,0,3,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15
Tolima,Icononzo,0,0,0,0,0,0,4,0,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Tolima,Coyaima,0,0,0,0,0,0,0,0,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Norte de Santander,Toledo,0,0,1,0,0,0,3,4,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
Antioquia,Santa Bárbara,0,0,0,0,0,0,3,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
Guaviare,Miraflores,1,3,0,2,1,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
Caldas,Filadelfia,0,0,0,0,0,1,2,1,1,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Cauca,Balboa,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,15
Antioquia,Betulia,0,0,0,0,0,1,6,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
Sucre,Chalán,0,0,1,0,0,1,0,0,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
Meta,Mapiripán,0,0,0,1,2,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,15
Magdalena,Sitionuevo,0,0,0,0,0,0,1,3,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
Antioquia,San Vicente,0,0,0,0,0,1,8,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Cesar,Becerril,0,0,0,0,2,0,3,0,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Nariño,Ipiales,0,0,0,0,0,0,1,1,1,0,1,2,0,2,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,14
Norte de Santander,Ábrego,0,0,0,1,0,0,3,0,2,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Putumayo,Mocoa,0,0,0,0,0,0,2,0,2,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Tolima,Natagaima,0,0,0,0,0,0,2,3,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Antioquia,Guatapé,0,0,0,0,0,0,5,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Sucre,Galeras,0,0,0,0,0,0,0,2,1,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Antioquia,Carepa,1,0,1,1,0,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,14
Santander,Girón,0,0,0,0,1,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Cauca,Piendamó,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14
Cesar,Pailitas,0,0,0,0,0,1,0,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14
Cesar,Robles,0,0,0,0,0,1,3,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Nariño,Cumbal,0,0,0,0,0,0,0,0,3,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13
Sucre,Morroa,0,0,1,0,0,0,2,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
Antioquia,Caicedo,0,1,1,1,0,0,0,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Caquetá,Solano,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,13
Chocó,Bojaya,0,0,0,0,0,1,3,0,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13
Norte de Santander,Bucarasica,0,0,0,0,0,0,0,2,1,3,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
Casanare,Casanare department,0,0,2,1,2,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13
Cauca,Morales,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,2,1,2,13
Putumayo,Villagarzón,0,0,0,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,13
Bolívar,Santa Rosa,0,0,0,0,0,1,0,4,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Norte de Santander,La Playa,0,0,0,0,0,0,0,2,1,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
Tolima,Ortega,0,0,0,0,0,1,0,0,2,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Antioquia,Andes,0,0,0,0,0,1,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
Antioquia,Cáceres,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,2,3,13
Antioquia,Alejandria,0,0,0,0,0,1,3,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Chocó,San José del Palmar,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,13
Antioquia,Amagá,0,0,0,0,0,0,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
Risaralda,Belén de Umbría,0,0,0,0,0,0,1,1,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Chocó,Lloró,0,0,0,0,0,0,0,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13
Tolima,Rovira,0,0,0,0,0,1,0,0,1,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Cesar,La Jagua de Ibirico,0,0,0,1,0,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Caldas,Supía,0,0,0,0,0,0,1,1,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Tolima,Villahermosa,0,0,0,0,0,2,0,1,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Bolívar,Villanueva,0,0,0,0,0,0,2,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
Casanare,Hato Corozal,0,0,1,0,1,2,1,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
Quindío,Calarcá,0,0,0,0,0,0,0,0,2,0,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Caldas,Salamina,0,0,0,0,0,2,1,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Tolima,Casabianca,0,0,0,0,0,0,1,0,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Caldas,Caldas department,0,1,0,0,1,1,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Caquetá,Valparaíso,0,0,0,0,2,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Bolívar,Arenal,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,12
Chocó,Juradó,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,12
Vichada,Cumaribo,0,1,1,0,1,0,1,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
La Guajira,La Guajira department,0,0,0,0,1,0,0,0,0,0,3,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,12
Cauca,Silvia,0,0,0,0,0,1,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12
Guaviare,Guaviare department,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12
Caquetá,Belén de Los Andaquies,0,0,0,0,0,1,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
Antioquia,Angostura,0,0,0,0,0,0,2,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
Santander,Rionegro,0,0,0,0,0,0,1,2,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Bolívar,Córdoba,0,0,0,0,0,3,4,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Chocó,Tadó,2,0,0,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Chocó,Unguía,0,0,1,0,0,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Cesar,Cesar department,0,1,1,3,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Cauca,Guapí,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,2,11
Chocó,El Litoral del San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3,3,1,0,11
Huila,Palermo,0,0,0,0,0,0,0,3,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Huila,Hobo,0,0,0,1,0,1,0,0,0,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Valle del Cauca,Sevilla,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
Antioquia,Murindó,0,0,0,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11
Caldas,Neira,0,0,0,0,0,0,3,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Tolima,Cunday,0,0,0,0,0,0,2,0,1,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Caldas,Pácora,0,0,0,0,0,0,0,3,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Caldas,Manzanares,0,0,0,0,0,0,0,3,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Valle del Cauca,Valle del Cauca department,0,0,0,1,1,0,1,0,1,0,0,0,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11
Caquetá,Curillo,0,0,0,0,0,1,0,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Tolima,Espinal,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Antioquia,Nechí,0,0,0,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,11
Sucre,Los Palmitos,0,0,0,0,0,0,1,3,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Antioquia,Rionegro,0,0,0,0,0,0,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
Atlántico,Sabanalarga municipality (Atlántico),0,0,0,0,0,0,0,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
Quindío,Génova,0,1,0,0,0,1,1,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Tolima,Fresno,0,0,0,0,0,0,0,1,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Chocó,Alto Baudó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,3,1,1,0,10
Cauca,Rosas,0,0,0,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10
Santander,Cerrito,0,0,0,0,0,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Sucre,San Benito Abad,0,0,0,0,0,0,0,1,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Boyacá,Chita,0,0,0,0,0,0,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Tolima,Prado,0,0,0,0,0,1,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Santander,Lebrija,0,0,0,0,0,0,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Cundinamarca,Topaipí,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Antioquia,Marinilla,0,0,0,0,0,0,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Córdoba,Lorica,0,0,0,0,0,0,2,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
Córdoba,Ciénaga de Oro,0,0,0,0,0,0,2,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
